City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,73.45,100,75,10.36,moderate rain
79,Rapid City,US,44.0805,-103.231,36.7,84,100,43.73,snow
80,Hithadhoo,MV,-0.6,73.0833,84.11,75,100,11.05,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,56.95,78,0,22.28,clear sky
82,Anadyr,RU,64.75,177.4833,25.3,79,75,4.47,broken clouds
83,Saqqez,IR,36.2499,46.2735,53.55,25,58,2.89,broken clouds
84,Saint George,US,37.1041,-113.5841,67.78,24,0,8.01,clear sky
85,Zharkent,KZ,44.1628,80.0,62.38,50,88,6.58,overcast clouds
86,Dawlatabad,AF,36.4141,64.9053,70.84,52,100,2.95,overcast clouds
87,Batticaloa,LK,7.7102,81.6924,79.41,84,100,8.01,overcast clouds
88,Ouadda,CF,8.0777,22.4007,72.68,75,95,4.7,overcast clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,68,0,10.36,clear sky
90,Jamestown,US,42.097,-79.2353,77.52,35,0,6.91,clear sky
91,Dumai,ID,1.6833,101.45,75.18,93,99,1.05,overcast clouds
92,Bubaque,GW,11.2833,-15.8333,77.36,79,3,17.36,clear sky
93,Chokurdakh,RU,70.6333,147.9167,-5.26,100,100,2.24,overcast clouds
94,Najran,SA,17.4924,44.1277,77.65,23,29,2.26,scattered clouds
95,Batagay,RU,67.6333,134.6333,7.16,97,100,2.55,overcast clouds
96,Oranjemund,NA,-28.55,16.4333,55.4,87,6,15.19,clear sky
97,Isangel,VU,-19.55,169.2667,78.58,76,100,13.09,overcast clouds
98,Margate,GB,51.3813,1.3862,54.1,80,100,8.01,overcast clouds
99,Kodiak,US,57.79,-152.4072,42.31,81,100,13.8,light rain
100,Mendoza,AR,-32.8908,-68.8272,72.93,40,0,5.75,clear sky
101,Svetlyy Yar,RU,48.4748,44.781,49.08,76,45,6.11,scattered clouds
102,Kaitangata,NZ,-46.2817,169.8464,50.56,91,100,9.64,overcast clouds
103,Port Hardy,CA,50.6996,-127.4199,50.18,71,100,19.57,light rain
104,Alta Floresta,BR,-9.8756,-56.0861,89.42,55,40,3.44,scattered clouds
105,Fairlie,GB,55.756,-4.8556,48.42,80,5,13.35,clear sky
106,Cotonou,BJ,6.3654,2.4183,84.18,79,20,11.5,few clouds
107,Olafsvik,IS,64.8945,-23.7142,45.5,88,64,4.81,broken clouds
108,Berlevag,NO,70.8578,29.0864,39.0,89,100,14.05,overcast clouds
109,Georgetown,MY,5.4112,100.3354,80.55,94,40,3.44,scattered clouds
110,Krasnyy Chikoy,RU,50.3643,108.7512,24.64,88,57,2.57,broken clouds
111,East London,ZA,-33.0153,27.9116,62.76,88,97,4.94,overcast clouds
112,College,US,64.8569,-147.8028,48.0,39,100,4.61,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,60.87,100,75,6.91,broken clouds
114,Tabou,CI,4.423,-7.3528,80.98,84,100,5.68,overcast clouds
115,Katsuura,JP,35.1333,140.3,66.06,88,100,8.12,overcast clouds
116,Gat,IL,31.61,34.7642,63.28,100,1,7.18,clear sky
117,Cuamba,MZ,-14.8031,36.5372,66.99,99,21,4.61,few clouds
118,Broken Hill,AU,-31.95,141.4333,62.31,67,40,9.22,scattered clouds
119,Salta,AR,-24.7859,-65.4117,66.79,85,100,9.22,overcast clouds
120,Salinopolis,BR,-0.6136,-47.3561,73.8,94,100,4.83,overcast clouds
121,Batemans Bay,AU,-35.7167,150.1833,56.1,93,14,4.34,few clouds
122,Maryville,US,35.7565,-83.9705,86.11,44,40,9.22,scattered clouds
123,Bat Khela,PK,34.6167,71.9714,69.12,37,0,7.14,clear sky
124,Port Blair,IN,11.6667,92.75,80.64,94,20,2.3,mist
125,Sao Filipe,CV,14.8961,-24.4956,74.91,74,0,4.74,clear sky
126,Bondoukou,CI,8.0333,-2.8,77.47,72,72,4.38,light rain
127,Caravelas,BR,-17.7125,-39.2481,78.57,87,32,7.78,scattered clouds
128,Nuuk,GL,64.1835,-51.7216,38.01,87,75,19.57,broken clouds
129,Lukang,TW,24.0567,120.4352,78.44,83,29,4.12,scattered clouds
130,Cap Malheureux,MU,-19.9842,57.6142,76.46,66,74,7.0,broken clouds
131,Ponnani,IN,10.767,75.9252,74.52,83,100,3.98,overcast clouds
132,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,72,20,14.09,few clouds
133,Makakilo City,US,21.3469,-158.0858,80.92,65,75,12.66,light rain
134,Chardara,KZ,41.2547,67.9692,68.9,48,100,5.97,overcast clouds
135,Pechora,RU,65.1472,57.2244,19.98,93,95,3.33,overcast clouds
136,Nador,MA,35.174,-2.9287,61.05,67,0,4.61,clear sky
137,Rock Hill,US,34.9249,-81.0251,82.78,48,75,6.91,broken clouds
138,Kudahuvadhoo,MV,2.6708,72.8944,84.29,73,76,10.71,broken clouds
139,Sorland,NO,67.667,12.6934,41.83,86,85,8.23,overcast clouds
140,Ibra,OM,22.6906,58.5334,78.21,38,3,1.99,clear sky
141,Patrasaer,IN,23.2167,87.5167,82.0,70,0,8.37,clear sky
142,Tehachapi,US,35.1322,-118.449,64.53,65,4,11.99,clear sky
143,Bengkulu,ID,-3.8004,102.2655,74.88,92,100,6.69,moderate rain
144,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,58,0,6.91,clear sky
145,Tautira,PF,-17.7333,-149.15,77.99,82,100,9.13,moderate rain
146,Narsaq,GL,60.9167,-46.05,44.82,96,100,2.19,light rain
147,Komsomolskiy,UZ,40.4272,71.7189,70.52,43,49,9.62,scattered clouds
148,Yakeshi,CN,49.2833,120.7333,23.56,92,68,4.03,broken clouds
149,Yasothon,TH,15.75,104.1333,84.04,65,81,5.41,broken clouds
150,Qasigiannguit,GL,68.8193,-51.1922,28.65,89,100,2.57,overcast clouds
151,Turukhansk,RU,65.8167,87.9833,4.33,98,79,6.04,broken clouds
152,Vaini,TO,-21.2,-175.2,77.16,83,75,2.3,broken clouds
153,Laiyang,CN,36.9758,120.7136,52.2,87,56,4.9,broken clouds
154,Sinnamary,GF,5.3833,-52.95,77.32,88,99,7.58,overcast clouds
155,Touros,BR,-5.1989,-35.4608,75.67,92,100,6.8,moderate rain
156,Grand Gaube,MU,-20.0064,57.6608,77.4,66,69,7.0,broken clouds
157,Hasaki,JP,35.7333,140.8333,63.0,73,100,15.3,overcast clouds
158,Herat,AF,34.5,62.0,61.63,59,70,9.98,broken clouds
159,Castro,BR,-24.7911,-50.0119,64.33,91,99,7.72,overcast clouds
160,Leningradskiy,RU,69.3833,178.4167,22.69,92,100,2.48,overcast clouds
161,Tevriz,RU,57.509,72.4042,22.96,84,21,3.58,few clouds
162,Dingle,PH,10.9995,122.6711,76.24,90,100,6.06,overcast clouds
163,Bilibino,RU,68.0546,166.4372,11.55,92,95,0.76,overcast clouds
164,Nienburg,DE,52.6333,9.2167,55.85,66,5,13.82,clear sky
165,Zyryanka,RU,65.75,150.85,11.77,94,93,5.17,overcast clouds
166,Kidal,ML,18.4411,1.4078,87.51,7,96,9.84,overcast clouds
167,Port-Cartier,CA,50.0334,-66.8654,41.11,64,92,13.06,overcast clouds
168,Koslan,RU,63.4564,48.8989,33.42,99,100,2.24,overcast clouds
169,Nemuro,JP,43.3236,145.575,38.7,76,1,2.86,clear sky
170,Matagami,CA,49.7502,-77.6328,41.11,20,0,6.91,clear sky
171,Cherskiy,RU,68.75,161.3,17.82,91,99,1.81,overcast clouds
172,Alice Springs,AU,-23.7,133.8833,60.35,59,75,4.61,broken clouds
173,Jacareacanga,BR,-6.2222,-57.7528,79.95,89,66,1.97,broken clouds
174,Torbay,CA,47.6666,-52.7314,39.27,87,100,24.16,overcast clouds
175,Nanortalik,GL,60.1432,-45.2371,34.63,99,100,5.73,light snow
176,Chegdomyn,RU,51.1167,133.0167,30.85,98,100,5.03,snow
177,Kawalu,ID,-7.3817,108.2082,72.39,98,91,0.92,overcast clouds
178,Talaya,RU,61.3833,152.75,9.9,94,100,3.29,overcast clouds
179,Padang,ID,-0.9492,100.3543,77.49,87,100,4.99,overcast clouds
180,Almaznyy,RU,48.0448,40.045,50.99,71,100,6.22,overcast clouds
181,Lavrentiya,RU,65.5833,-171.0,26.67,75,90,2.28,overcast clouds
182,Nikolskoye,RU,59.7035,30.7861,42.69,80,100,9.69,overcast clouds
183,Korla,CN,41.7597,86.1469,65.64,23,0,3.47,clear sky
184,Mata De Sao Joao,BR,-12.5303,-38.2992,83.95,91,3,3.89,clear sky
185,Sisimiut,GL,66.9395,-53.6735,30.18,96,100,6.46,light snow
186,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,33,0,41.43,clear sky
187,Kisanga,TZ,-7.4362,37.7034,73.62,97,100,1.48,light rain
188,Ust-Nera,RU,64.5667,143.2,10.11,97,100,5.12,overcast clouds
189,Kavieng,PG,-2.5744,150.7967,81.79,77,63,11.01,broken clouds
190,Geraldton,AU,-28.7667,114.6,66.61,52,22,11.5,few clouds
191,Coahuayana,MX,18.7333,-103.6833,89.15,37,0,8.39,clear sky
192,Oyama,JP,36.3,139.8,68.59,52,100,4.5,overcast clouds
193,Merrill,US,45.1805,-89.6835,71.37,76,100,12.66,overcast clouds
194,Langenau,DE,48.4962,10.1185,51.71,92,96,11.45,overcast clouds
195,Tiarei,PF,-17.5333,-149.3333,84.22,82,100,8.23,moderate rain
196,Teahupoo,PF,-17.8333,-149.2667,78.76,79,98,8.37,moderate rain
197,Ishigaki,JP,24.3448,124.1572,77.13,100,7,6.91,clear sky
198,Avera,US,33.194,-82.5271,82.38,42,16,9.71,few clouds
199,Upernavik,GL,72.7868,-56.1549,12.78,88,100,9.55,overcast clouds
200,Cidreira,BR,-30.1811,-50.2056,65.25,59,0,9.71,clear sky
201,Port Macquarie,AU,-31.4333,152.9167,58.89,76,76,6.15,broken clouds
202,Pisco,PE,-13.7,-76.2167,66.25,82,17,8.05,mist
203,Roma,US,43.2128,-75.4557,55.96,41,100,9.22,light rain
204,Pevek,RU,69.7008,170.3133,8.58,96,99,3.47,overcast clouds
205,San Cristobal,VE,7.7669,-72.225,78.98,82,86,1.66,overcast clouds
206,Chuy,UY,-33.6971,-53.4616,60.96,45,0,7.16,clear sky
207,Buala,SB,-8.145,159.5921,82.09,76,73,2.82,broken clouds
208,Henties Bay,NA,-22.116,14.2845,59.65,89,23,13.47,few clouds
209,Airai,TL,-8.9266,125.4092,58.6,68,17,2.1,few clouds
210,Takoradi,GH,4.8845,-1.7554,81.19,86,76,9.55,broken clouds
211,Saldanha,ZA,-33.0117,17.9442,51.85,71,0,20.98,clear sky
212,Aksu,CN,41.1231,80.2644,65.12,35,15,3.09,few clouds
213,Tooele,US,40.5308,-112.2983,50.09,50,0,9.22,clear sky
214,Qaanaaq,GL,77.484,-69.3632,2.62,83,25,4.52,scattered clouds
215,Morondava,MG,-20.2833,44.2833,75.61,89,100,8.48,light rain
216,Marsa Matruh,EG,31.3525,27.2453,62.8,72,0,3.44,clear sky
217,Coos Bay,US,43.3665,-124.2179,66.99,81,0,10.36,clear sky
218,Baruun-Urt,MN,46.6806,113.2792,35.89,43,1,4.81,clear sky
219,Gambela,ET,8.25,34.5833,73.9,82,98,4.25,overcast clouds
220,Newport,GB,51.5877,-2.9984,55.09,65,91,20.74,overcast clouds
221,Sao Borja,BR,-28.6606,-56.0044,66.94,63,0,2.48,clear sky
222,Hualmay,PE,-11.0964,-77.6139,71.42,76,11,9.91,few clouds
223,Abbeville,FR,50.1,1.8333,58.96,89,100,6.89,overcast clouds
224,Namatanai,PG,-3.6667,152.4333,80.15,79,78,6.06,broken clouds
225,Svetlogorsk,BY,52.6333,29.7333,45.0,98,100,3.74,overcast clouds
226,Inirida,CO,3.8653,-67.9239,87.21,66,69,0.76,broken clouds
227,Bilma,NE,18.6853,12.9164,92.12,11,5,7.36,clear sky
228,Breves,BR,-1.6822,-50.4803,74.68,96,100,4.43,overcast clouds
229,Provideniya,RU,64.3833,-173.3,30.6,59,81,0.87,broken clouds
230,Ust-Ilimsk,RU,58.0006,102.6619,16.65,92,89,6.49,overcast clouds
231,Usinsk,RU,65.9939,57.5281,11.23,90,83,5.73,broken clouds
232,Dikson,RU,73.5069,80.5464,-4.86,100,100,8.46,overcast clouds
233,Fairbanks,US,64.8378,-147.7164,49.24,36,0,4.61,clear sky
234,Nantucket,US,41.2835,-70.0995,53.02,64,0,12.66,clear sky
235,Butaritari,KI,3.0707,172.7902,81.54,75,91,16.15,overcast clouds
236,Krasnoselkup,RU,65.7,82.4667,-0.35,99,99,7.54,overcast clouds
237,Watertown,US,42.3709,-71.1828,68.02,24,100,10.36,overcast clouds
238,Andenes,NO,69.3143,16.1194,39.18,87,9,10.36,clear sky
239,Peachland,CA,49.7665,-119.7357,65.16,36,15,4.0,few clouds
240,Tahe,CN,52.3333,124.7333,25.75,76,8,4.74,clear sky
241,Bowen,AU,-20.0167,148.2333,76.39,78,33,20.83,scattered clouds
242,Wufeng,CN,27.45,104.8333,55.53,95,55,1.25,broken clouds
243,Camabatela,AO,-8.1881,15.375,62.74,96,100,0.6,overcast clouds
244,Mont-De-Marsan,FR,44.0,-0.6667,53.11,82,100,11.5,overcast clouds
245,Beloha,MG,-25.1667,45.05,75.04,79,100,10.25,overcast clouds
246,La Ronge,CA,55.1001,-105.2842,50.22,37,0,4.61,clear sky
247,Qujing,CN,25.4833,103.7833,58.6,83,0,7.43,clear sky
248,Bethel,US,41.3712,-73.414,65.62,40,75,5.75,broken clouds
249,Iroquois Falls,CA,48.7669,-80.6831,42.78,78,100,9.42,overcast clouds
250,Qaqortoq,GL,60.7167,-46.0333,35.76,98,100,4.47,light rain
251,Temyasovo,RU,52.9933,58.1014,39.0,57,99,5.5,overcast clouds
252,Gasa,PS,31.5,34.4667,64.89,82,1,7.4,clear sky
253,Kodinsk,RU,58.6881,99.1844,20.01,95,100,5.97,overcast clouds
254,Alyangula,AU,-13.8483,136.4192,78.67,89,100,5.75,overcast clouds
255,Ballina,AU,-28.8667,153.5667,66.16,86,75,11.5,broken clouds
256,Inverell,AU,-29.7833,151.1167,55.67,86,100,8.01,overcast clouds
257,Valle Nacional,MX,17.7833,-96.3167,98.02,29,0,6.08,clear sky
258,Kamenka,RU,51.3223,42.7678,50.4,59,100,4.12,overcast clouds
259,Nyurba,RU,63.2842,118.3319,13.08,97,99,2.53,overcast clouds
260,Bom Jesus,BR,-9.0744,-44.3586,86.23,44,99,3.58,overcast clouds
261,Sawakin,SD,19.1059,37.3321,84.22,78,2,3.22,clear sky
262,Cabo San Lucas,MX,22.8909,-109.9124,81.7,67,0,9.22,clear sky
263,Bozova,TR,37.3625,38.5267,68.92,32,21,4.43,few clouds
264,Kavaratti,IN,10.5669,72.642,84.13,71,88,5.17,overcast clouds
265,Lagoa,PT,39.05,-27.9833,57.51,67,32,24.65,scattered clouds
266,Povenets,RU,62.8487,34.8262,30.47,94,100,6.87,overcast clouds
267,Dali,CN,25.7,100.1833,55.38,89,4,5.77,clear sky
268,Belmonte,BR,-15.8631,-38.8828,78.71,84,2,6.98,clear sky
269,Tocopilla,CL,-22.092,-70.1979,67.44,71,99,4.52,overcast clouds
270,Mwinilunga,ZM,-11.7358,24.4293,61.61,93,44,2.95,scattered clouds
271,Trinidad,BO,-14.8333,-64.9,93.18,55,40,11.5,scattered clouds
272,Ushtobe,KZ,45.2514,77.9838,60.3,71,100,5.64,overcast clouds
273,Areia Branca,BR,-4.9561,-37.1369,75.4,92,100,13.09,moderate rain
274,Alenquer,BR,-1.9417,-54.7383,77.81,92,100,3.33,overcast clouds
275,Mount Isa,AU,-20.7333,139.5,69.57,100,100,5.75,overcast clouds
276,Vila Velha,BR,-20.3297,-40.2925,84.15,84,0,14.97,clear sky
277,Nara,JP,34.6851,135.8049,63.5,65,100,1.72,overcast clouds
278,San Jose,US,37.3394,-121.895,74.37,43,20,13.0,few clouds
279,San Quintin,MX,30.4833,-115.95,63.61,61,0,15.77,clear sky
280,Hernani,ES,43.2662,-1.9762,52.93,86,100,11.5,light rain
281,Hofn,IS,64.2539,-15.2082,43.39,85,3,4.54,clear sky
282,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,87,75,28.77,broken clouds
283,Yulara,AU,-25.2406,130.9889,62.44,42,13,9.22,few clouds
284,Erenhot,CN,43.6475,111.9767,51.31,37,97,8.16,overcast clouds
285,Rawson,AR,-43.3002,-65.1023,61.95,27,28,37.67,scattered clouds
286,Kieta,PG,-6.2167,155.6333,80.74,76,100,1.16,overcast clouds
287,Sioux Lookout,CA,50.1001,-91.917,35.67,93,100,11.5,light intensity shower rain
288,Severodvinsk,RU,64.5635,39.8302,32.11,91,100,6.22,overcast clouds
289,Haines Junction,CA,60.7522,-137.5108,46.35,46,33,2.3,scattered clouds
290,Samarai,PG,-10.6167,150.6667,82.63,78,53,11.63,broken clouds
291,Souillac,MU,-20.5167,57.5167,77.38,61,20,14.97,few clouds
292,Kandrian,PG,-6.2167,149.55,77.54,86,37,3.89,scattered clouds
293,Sechura,PE,-5.5569,-80.8222,77.32,64,22,14.34,few clouds
294,Kaniama,CD,-7.5667,24.1833,67.62,94,84,2.77,light rain
295,Sciacca,IT,37.5082,13.0881,61.99,64,4,9.6,clear sky
296,Muros,ES,42.7762,-9.0603,54.84,78,25,7.16,scattered clouds
297,Andros,GR,37.8333,24.9333,61.36,76,18,3.09,few clouds
298,Chenghai,CN,23.4632,116.768,73.31,100,40,2.24,mist
299,Maun,BW,-19.9833,23.4167,64.36,94,0,3.44,clear sky
300,Severo-Kurilsk,RU,50.6789,156.125,34.99,98,100,12.93,light snow
301,Correntina,BR,-13.3433,-44.6367,84.31,36,31,2.86,scattered clouds
302,Urengoy,RU,65.9667,78.3667,-2.74,100,98,6.46,overcast clouds
303,Kruisfontein,ZA,-34.0033,24.7314,58.89,94,100,0.29,overcast clouds
304,Brookings,US,44.3114,-96.7984,73.4,35,75,32.21,broken clouds
305,Saskylakh,RU,71.9167,114.0833,-13.49,100,93,4.45,overcast clouds
306,Umm Kaddadah,SD,13.6017,26.6876,82.99,9,37,10.63,scattered clouds
307,Meulaboh,ID,4.1363,96.1285,77.18,92,82,3.96,broken clouds
308,Moron,AR,-34.6534,-58.6198,71.02,51,1,9.26,clear sky
309,Vasai,IN,19.47,72.8,86.09,64,57,3.24,broken clouds
310,Laguna,US,38.421,-121.4238,76.28,36,0,10.36,clear sky
311,Masunga,BW,-20.6246,27.4488,66.94,67,99,6.62,overcast clouds
312,Talnakh,RU,69.4865,88.3972,-3.8,99,96,4.36,overcast clouds
313,Mogadishu,SO,2.0371,45.3438,83.16,73,28,14.34,scattered clouds
314,Ahipara,NZ,-35.1667,173.1667,64.78,59,81,14.63,broken clouds
315,Chernyshevskiy,RU,63.0128,112.4714,14.94,98,100,4.29,overcast clouds
316,Araouane,ML,18.9048,-3.5265,82.11,9,59,8.99,broken clouds
317,Zhezkazgan,KZ,47.8043,67.7144,47.64,26,100,18.05,light rain
318,Karabanovo,RU,56.3167,38.7,43.84,91,100,4.25,overcast clouds
319,Richmond,US,37.5538,-77.4603,82.38,48,40,10.36,scattered clouds
320,Taos,US,36.4072,-105.5731,56.98,20,48,18.99,scattered clouds
321,Udachnyy,RU,66.4167,112.4,1.94,99,98,3.38,overcast clouds
322,Cairns,AU,-16.9167,145.7667,77.07,93,75,11.5,light rain
323,Sagua La Grande,CU,22.8067,-80.0756,83.39,60,35,17.98,scattered clouds
324,Hegang,CN,47.4,130.3667,41.56,72,83,17.18,broken clouds
325,Beringovskiy,RU,63.05,179.3167,25.63,90,94,2.06,overcast clouds
326,Nelson Bay,AU,-32.7167,152.15,62.01,97,19,10.25,few clouds
327,Sitka,US,57.0531,-135.33,49.89,53,100,12.66,overcast clouds
328,Benicarlo,ES,40.4165,0.4271,59.25,53,98,11.68,overcast clouds
329,Linxia,CN,35.6003,103.2064,46.17,77,100,6.04,light rain
330,Socoltenango,MX,16.2167,-92.25,68.25,68,71,11.27,broken clouds
331,Sabang,ID,5.8933,95.3214,83.79,72,13,2.06,few clouds
332,Porosozero,RU,62.7191,32.727,29.41,90,100,6.11,overcast clouds
333,Sobolevo,RU,54.4299,31.8996,46.6,90,100,13.69,overcast clouds
334,Fortuna,US,40.5982,-124.1573,56.93,85,100,9.22,overcast clouds
335,Isla Vista,US,34.4133,-119.861,80.26,45,20,9.22,few clouds
336,Ende,ID,-8.8432,121.6623,76.89,84,54,1.61,broken clouds
337,Mutare,ZW,-18.9707,32.6709,62.56,98,64,3.76,broken clouds
338,Lazaro Cardenas,MX,17.9583,-102.2,84.36,53,0,13.2,clear sky
339,Vardo,NO,70.3705,31.1107,38.82,86,100,16.08,overcast clouds
340,Lewisporte,CA,49.2499,-55.0482,38.91,96,100,9.15,overcast clouds
341,Kapit,MY,2.0167,112.9333,73.67,100,100,1.45,moderate rain
342,Sharan,RU,54.8167,54.0,42.08,84,24,4.85,few clouds
343,Rafina,GR,38.0181,24.006,65.82,67,5,1.61,clear sky
344,Port Lincoln,AU,-34.7333,135.8667,62.92,89,4,12.97,clear sky
345,Aswan,EG,24.0934,32.907,87.1,7,0,12.66,clear sky
346,Chateau-Thierry,FR,49.05,3.4,56.35,87,99,10.54,overcast clouds
347,Nsanje,MW,-16.92,35.262,70.9,99,72,2.3,broken clouds
348,Shakawe,BW,-18.3667,21.85,64.06,53,3,2.33,clear sky
