City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Pathein,MM,80.89,scattered clouds,16.7833,94.7333,Pathein Hotel
478,Stephenville,US,82.17,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
483,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
487,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
492,Pyapon,MM,80.71,few clouds,16.2833,95.6833,Aung Naing Thu Motel
496,Manicore,BR,81.0,scattered clouds,-5.8092,-61.3003,Hotel Durval
499,Eyl,SO,81.99,scattered clouds,7.9803,49.8164,Amiin Hotel
513,Yarada,IN,84.52,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
525,Baudh,IN,85.35,scattered clouds,20.8416,84.3213,Hotel Parijat Palace
533,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
536,Toro,CO,87.08,light rain,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
547,Medina,SA,88.23,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
556,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
559,Bonfim,BR,88.83,overcast clouds,3.0833,-59.95,
561,Machala,EC,84.15,few clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
570,Boyuibe,BO,81.27,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
571,Nueva Guinea,NI,82.38,scattered clouds,11.6876,-84.4562,Posadita La Reyna
573,Abu Zabad,SD,84.42,clear sky,12.35,29.25,حامد محمد نور
580,Samdari,IN,84.06,few clouds,25.8167,72.5833,Karnoba Ki Dhani
581,Mahibadhoo,MV,84.0,broken clouds,3.7833,72.9667,Omadhoo Inn
582,Lynn Haven,US,80.02,scattered clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
584,Taoudenni,ML,82.13,clear sky,22.6783,-3.9836,
586,South Patrick Shores,US,81.09,few clouds,28.2022,-80.6095,Americas Best Value Inn Satellite Beach Melbourne
603,Anandnagar,IN,80.78,clear sky,27.1,83.2833,Susham's Haveli
604,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
609,Sterling,US,82.11,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
612,Canutama,BR,80.56,light rain,-6.5339,-64.3831,Hotel Jhennifer
614,Muli,MV,84.0,broken clouds,2.9167,73.5667,Medhufushi Island Resort
616,Callaguip,PH,80.55,clear sky,18.0714,120.4867,Pangil Beach Resort
617,Zitlala,MX,81.36,scattered clouds,17.6333,-99.0833,
618,Bac Lieu,VN,81.45,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
620,Shorapur,IN,87.49,overcast clouds,16.5167,76.75,Maheshwari Bhawan
630,Sena Madureira,BR,82.72,overcast clouds,-9.0656,-68.6569,Hotel Central
635,Harrison,US,80.76,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
637,Tanda,IN,82.56,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
638,Yendi,GH,87.55,broken clouds,9.4427,-0.0099,Eyarro Lodge
656,Tual,ID,83.53,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
